Time,PLETH,HR,PLETH_SPO2,PLETH_HR,SPI,SPV,PPV
0,1.54,64,100,64,0,0,0
0.78,5.04,64,100,64,0,0,0
1.58,5.32,64,100,64,0,0,0
2.38,11.48,64,100,64,0,0,0
3.18,6.72,64,100,64,0,0,0
3.98,-16.24,64,100,64,0,0,0
4.78,-10.08,64,100,64,0,0,0
5.58,-7.56,64,100,64,0,0,0
6.38,-0.7,64.19899,100,64.19899,0,0,0
7.18,5.46,64.46402,100,64.46402,0,0,0
7.98,6.58,64.729057,100,64.729057,0,0,0
8.78,8.12,64.994095,100,64.994095,0,0,0
9.58,-4.06,65,100,65,0,0,0
10.38,-12.32,65,100,65,0,0,0
11.18,0.14,65,100,65,0,0,0
11.98,-2.1,65,100,65,0,0,0
12.78,5.18,65,100,65,0,0,0
13.58,0.56,65,100,65,0,0,0
14.38,7.56,65,100,65,0,0,0
15.18,17.639999,64.964439,99.957527,64.964439,0,0,0
15.98,-0.14,64.849342,99.820068,64.849342,0,0,0
16.78,-0.154493,64.734238,99.682602,64.734238,0,0,0
17.58,-0.183479,64.619141,99.545143,64.619141,0,0,0
18.38,-0.212465,64.504036,99.407677,64.504036,0,0,0
19.18,-0.241451,64.388939,99.270218,64.388939,0,0,0
19.98,-0.270437,64.273842,99.132751,64.273842,0,0,0
20.78,-0.299423,64.158737,98.995293,64.158737,0,0,0
21.58,-0.328409,64.04364,98.857826,64.04364,0,0,0
22.38,-0.357395,63.928539,98.720367,63.928539,0,0,0
23.18,-0.386381,63.813438,98.582901,63.813438,0,0,0
23.98,-0.415367,63.698341,98.445442,63.698341,0,0,0
24.78,-0.444354,63.583241,98.307976,63.583241,0,0,0
25.58,-0.47334,63.46814,98.170517,63.46814,0,0,0
26.38,-0.502326,63.353039,98.033051,63.353039,0,0,0
27.18,-0.531312,63.237938,97.895592,63.237938,0,0,0
27.98,-0.560298,63.122841,97.758125,63.122841,0,0,0
28.78,-0.589284,63.00774,97.620659,63.00774,0,0,0
29.58,-0.61827,62.892639,97.4832,62.892639,0,0,0
30.38,-0.647256,62.777538,97.345734,62.777538,0,0,0
31.18,-0.676242,62.662441,97.208275,62.662441,0,0,0
31.98,-0.705228,62.54734,97.070808,62.54734,0,0,0
32.78,-0.734214,62.43224,96.93335,62.43224,0,0,0
33.58,-0.7632,62.317139,96.795883,62.317139,0,0,0
34.38,-0.792186,62.202038,96.658424,62.202038,0,0,0
35.18,-0.821172,62.086941,96.520958,62.086941,0,0,0
35.98,-0.850158,61.97184,96.383499,61.97184,0,0,0
36.78,-0.879144,61.856739,96.246033,61.856739,0,0,0
37.58,-0.908131,61.741638,96.108574,61.741638,0,0,0
38.38,-0.937117,61.626541,95.971107,61.626541,0,0,0
39.18,-0.966103,61.51144,95.833649,61.51144,0,0,0
39.98,-0.995089,61.396339,95.696182,61.396339,0,0,0
40.78,-1.024075,61.281239,95.558723,61.281239,0,0,0
41.58,-1.053061,61.166142,95.421257,61.166142,0,0,0
42.38,-1.082047,61.051041,95.283791,61.051041,0,0,0
43.18,-1.111033,60.93594,95.146332,60.93594,0,0,0
43.98,-1.140019,60.820839,95.008865,60.820839,0,0,0
44.78,-1.169005,60.705738,94.871407,60.705738,0,0,0
45.58,-1.197991,60.590641,94.73394,60.590641,0,0,0
46.38,-1.226977,60.47554,94.596481,60.47554,0,0,0
47.18,-1.255963,60.360439,94.459015,60.360439,0,0,0
47.98,-1.284949,60.245338,94.321556,60.245338,0,0,0
48.78,-1.313935,60.130241,94.18409,60.130241,0,0,0
49.58,-1.342921,60.015141,94.046631,60.015141,0,0,0
50.38,-1.371907,59.90004,93.909164,59.90004,0,0,0
51.18,-1.400894,59.784939,93.771706,59.784939,0,0,0
51.98,-1.42988,59.669842,93.634239,59.669842,0,0,0
52.78,-1.458866,59.554741,93.49678,59.554741,0,0,0
53.58,-1.487852,59.43964,93.359314,59.43964,0,0,0
54.38,-1.516838,59.324539,93.221855,59.324539,0,0,0
55.18,-1.545824,59.209438,93.084389,59.209438,0,0,0
55.98,-1.57481,59.094341,92.94693,59.094341,0,0,0
56.78,-1.603796,58.97924,92.809464,58.97924,0,0,0
57.58,-1.632782,58.86414,92.671997,58.86414,0,0,0
58.38,-1.661768,58.749039,92.534538,58.749039,0,0,0
59.18,-1.690754,58.633942,92.397072,58.633942,0,0,0
59.98,-1.71974,58.518841,92.259613,58.518841,0,0,0
60.78,-1.748726,58.40374,92.122147,58.40374,0,0,0
61.58,-1.777712,58.288639,91.984688,58.288639,0,0,0
62.38,-1.806698,58.173538,91.847221,58.173538,0,0,0
63.18,-13.299999,58.058441,91.709763,58.058441,0,0,0
63.98,-2.94,57.94334,91.572296,57.94334,0,0,0
64.78,1.12,57.828239,91.244583,57.828239,0,0,0
65.58,-0.42,57.713139,90.705795,57.713139,0,0,0
66.38,-4.76,57.598042,90.167,57.598042,0,0,0
67.18,-1.4,57.482941,89.628212,57.482941,0,0,0
67.98,3.08,57.36784,89.147865,57.36784,0,0,0
68.78,9.099999,57.252739,88.710464,57.252739,0,0,0
69.58,-14.42,57.137642,88.273056,57.137642,0,0,0
70.38,-9.94,57.022541,87.835655,57.022541,0,0,0
71.18,1.96,57,87.419579,57,0,0,0
71.98,5.88,57,87.00869,57,0,0,0
72.78,5.04,57,86.597809,57,0,0,0
73.58,4.62,57.00843,86.194092,57.00843,0,0,0
74.38,-13.86,57.273357,86.008644,57.273357,0,0,0
75.18,4.9,57.538284,85.823196,57.538284,0,0,0
75.98,9.099999,57.803211,85.637749,57.803211,0,0,0
76.78,-6.3,58,85.651726,58,0,0,0
77.58,-5.04,58,86.241669,58,0,0,0
78.38,-17.92,58,86.831604,58,0,0,0
79.18,9.24,58,87.421539,58,0,0,0
79.98,-1.96,58,88.268875,58,0,0,0
80.78,-0.84,58,89.576813,58,0,0,0
81.58,-3.36,58,90.884758,58,0,0,0
82.38,0.84,58,92.192696,58,0,0,0
83.18,10.639999,58,93.391785,58,0,0,0
83.98,-1.26,58,94.570374,58,0,0,0
84.78,-14.7,58,95.748962,58,0,0,0
85.58,-7.28,58,96.927544,58,0,0,0
86.38,2.1,58,97.505325,58,0,0,0
87.18,6.02,58,98.043755,58,0,0,0
87.98,8.679999,58,98.582191,58,0,0,0
88.78,-10.36,57.990486,99.104752,57.990486,0,0,0
